institution,location,degree_name,url,state
University of Denver,Denver,Business Information and Analytics Certificate,http://daniels.du.edu/academic-programs/certificates-professional-development/graduate-business-certificates/business-information-analytics/,colorado
Central Connecticut State University,New Britain,Graduate Certificate in Data Mining,http://web.ccsu.edu/datamining/graduate%20certificate.html,connecticut
Quinnipiac University,Hamden,Master of Science in Business Analytics,http://www.quinnipiac.edu/academics/qu-online/online-programs/online-graduate-programs/master-of-science-in-business-analytics/,connecticut
University of Bridgeport,Bridgeport,MBA - Analytics Intelligence Concentration,http://www.bridgeport.edu/academics/graduate/master-business-administration-mba/majors/analytics-intelligence/,connecticut
University of Connecticut,Storrs,Master of Science in Business Analytics and Project Management,http://msbapm.business.uconn.edu/,connecticut
University of New Haven,West Haven,M.B.A. - Business Intelligence Concentration,http://catalog.newhaven.edu/preview_program.php?catoid=11&poid=1960&returnto=848,connecticut
Yale University,New Haven,Terminal Master of Arts in Statistics,http://statistics.yale.edu/academics/terminal-ma-program,connecticut
University of Delaware,Newark,Certificate of Geographic Information Science,http://www.ceoe.udel.edu/schools-departments/department-of-geography/for-graduates/gis-certificate,delaware
American University,"Washington, District of Columbia",Master of Science in  Analytics,http://requestinfo.onlinebusiness.american.edu/analytics.html?s=mastersindatasciencesite&l=schools_district%20of%20columbia--listings-featured-program,district of columbia
George Washington University,"Washington, District of Columbia",Online MS in Management of Health Informatics and Analytics,https://requestinfo.publichealthonline.gwu.edu/mhi.html?s=mastersindatasciencesite&l=schools_district%20of%20columbia--listings-featured-program,district of columbia
American University,"Washington, District of Columbia",Master of Science in  Analytics,http://www.american.edu/kogod/graduate/MS-ANLT.cfm,district of columbia
George Washington University,"Washington, District of Columbia",Online MS in Management of Health Informatics and Analytics,https://publichealthonline.gwu.edu/health-informatics/,district of columbia
Georgetown University,"Washington, District of Columbia",Certificate in Biostatistics,http://biostatistics.georgetown.edu/education/certificate/biostatistics,district of columbia
Florida Atlantic University,Boca Raton,Graduate Certificate in Big Data Analytics,http://business.fau.edu/masters-phd/master-of-science/ms-in-information-technology-management/program-information/big-data-analytics-graduate-certificate/index.aspx#.V-qPHJMrKRt,florida
Florida International University,Miami,Master of Science in Health Informatics and Analytics,https://business.fiu.edu/graduate/health-informatics-and-analytics/index.cfm,florida
Florida Polytechnic University,Lakeland,Master in Software & Data Engineering,http://www.msde.usi.ch/,florida
Florida State University,Tallahassee,Graduate Certificate in SAS Programming and Data Analysis,http://stat.fsu.edu/sas-certificate,florida
Full Sail University,Winter Park,Master of Science in Business Intelligence,http://www.fullsail.edu/degrees/online/business-intelligence-masters,florida
Jacksonville University,Jacksonville,Master of Science in Applied Business Analytics,https://www.jacksonvilleu.com/business/ms-applied-business-analytics/,florida
New College of Florida,Sarasota,Master in Data Science,https://www.ncf.edu/academics/graduate-program/,florida
Nova Southeastern University,Fort Lauderdale,Graduate Certificate in Business Intelligence / Analytics,http://cec.nova.edu/certificates/certificate_bi.html,florida
The University of West Florida,Pensacola,Graduate Certificate in Data Science,http://uwf.edu/cse/departments/computer-science/graduate-certificates/data-science/,florida
University of Central Florida,Orlando,M.S.  in Statistical Computing Data Mining Track,http://sciences.ucf.edu/statistics/dms/,florida
University of Florida,Gainesville,Master of Science in Information Systems and Operations Management (Business Intelligence & Analytics specialization),http://warrington.ufl.edu/graduate/academics/ms-isom/,florida
University of Miami,Coral Gables,Master of Science in Business Analytics,http://www.bus.miami.edu/academic-programs/mba-specialized-masters/specialized-masters/business-analytics.html,florida
University of South Florida-Main Campus,Tampa,Analytics and Business Intelligence Certificate,http://www.usf.edu/innovative-education/programs/graduate-certificates/analytics-and-business-intelligence.aspx,florida
Georgia College & State University,Milledgeville,Master of Management Information Systems,http://www.gcsu.edu/business/gradbusiness/mmis,georgia
Georgia Institute of Technology,Atlanta,Master of Business Administration - Information Technology Management,https://www.scheller.gatech.edu/degree-programs/mba/full-time-program/curriculum/core-electives/it-management.html,georgia
Georgia Southern University,Statesboro,M.S. - Computer Science with concentration in Data Mining and Data Warehousing,http://ceit.georgiasouthern.edu/cs/degrees/mscs/,georgia
Georgia State University,Atlanta,Master of Science in Analytics,http://specialized.robinson.gsu.edu/msa/,georgia
Kennesaw State University,Kennesaw,Certificate in Data Mining,http://csm.kennesaw.edu/statistics/programs/certificate-sas-data-mining.php,georgia
Mercer University,Macon,M.S. In Business Analytics,http://business.mercer.edu/programs/business-analytics/,georgia
University of Georgia,Athens,MBA with concentration in Business Analytics,http://mba.terry.uga.edu/fulltime/concentrations/business-analytics,georgia
Hawaii Pacific University,Honolulu,Professional Certificate in Business Analytics,https://www.hpu.edu/registrar/academic-catalog/view-grad.html#?p=CERT-BA,hawaii
Boise State University,Boise,Graduate Certificate in Geospatial Information Analysis,https://earth.boisestate.edu/degrees/graduate/certificate-gis/,idaho
Idaho State University,Pocatello,Graduate Certificate in Geotechnology,http://coursecat.isu.edu/graduate/scienceengineering/geosciences/#programstext,idaho
University of Idaho,Moscow,Master of Science in Bioinformatics and Computational Biology,http://www.uidaho.edu/sci/bcb/degrees/ms,idaho
Benedictine University,Lisle,Master of Science in Business Analytics,http://www.ben.edu/academic_programs/majorsheets/upload/MSBA_2013.pdf,illinois
DePaul University,Chicago,Information Systems (MS) - Business Intelligence Concentration,http://www.depaul.edu/university-catalog/degree-requirements/graduate/cdm/information-systems-ms/concentrations/Pages/business-intelligence.aspx,illinois
Elmhurst College,Elmhurst,Graduate Certificate in Data Science,http://public.elmhurst.edu/data_science/227880201.html,illinois
Illinois Institute of Technology,Chicago,Master of Data Science,http://science.iit.edu/programs/graduate/master-data-science,illinois
Lewis University,Romeoville,"Business Analytics, M.S.",https://www.lewisu.edu/academics/business-analytics/index.htm,illinois
Loyola University Chicago,Chicago,Certificate in Business Data Analytics,http://www.luc.edu/quinlan/certificates/business-data-analytics/,illinois
Northwestern University,Evanston,Certificate in Advanced Data Science,http://sps.northwestern.edu/program-areas/advanced-graduate/advanced-data-science/index.php,illinois
University of Chicago,Chicago,Certificate in Business Analytics,https://grahamschool.uchicago.edu/professional-degrees-programs/pdp/analytics/index,illinois
University of Illinois at Chicago,Chicago,Health Informatics (IBHE-Approved Certificate),http://catalog.uic.edu/gcat/colleges-schools/applied-health-sciences/him-cert/,illinois
University of Illinois at Springfield,Springfield,Graduate Certificate in Business Intelligence,http://mis.uis.edu/birequirements.php,illinois
University of Illinois at Urbana-Champaign,Champaign,Master of Accounting Science - Data Analytics in Accountancy,https://business.illinois.edu/accountancy/programs/mas/,illinois
University of St Francis,Joliet,Graduate Certificate in Business Analytics,http://www.stfrancis.edu/academics/college-of-business/graduate-certificate-business-analytics/,illinois
Indiana University Bloomington,Bloomington,Business Analytics Certificate Program,https://kelley.iu.edu/programs/executive-degree-programs/online-certificates/business-analytics/index.cshtml,indiana
Indiana University-Purdue University-Indianapolis,Indianapolis,Health Information Management and Exchange Certificate,https://soic.iupui.edu/biohealth/graduate/health-information-management/,indiana
Purdue University,West Lafayette,Certificate in Applied Statistics,https://engineering.purdue.edu/ProEd/programs/certificate-programs/applied-statistics,indiana
Saint Mary's College,Notre Dame,Online Master of Science in Data Science,https://grad.saintmarys.edu/academic-programs/ms-data-science,indiana
University of Notre Dame,Notre Dame,Master of Science in Applied and Computational Mathematics and Statistics with a specialty in Applied Statistics,http://acms.nd.edu/graduate-programs/professional-master-s-programs/master-of-science-in-applied-statistics/,indiana
Valparaiso University,Valparaiso,Certificate in Applied Econometric and Data Science Foundations using SAS,http://www.valpo.edu/economics/academics/graduate-programs/certificate-in-applied-econometrics-and-data-science-foundations-using-sas/,indiana
Iowa State University,Ames,Graduate Certificate in Business Analytics,http://www.business.iastate.edu/masters/graduate-certificates/business-analytics/,iowa
Loras College,Dubuque,Executive MBA in Business Analytics,http://www.loras.edu/academics/graduate/mba-business-analytics/,iowa
Maharishi University of Management,Fairfield,Master of Science In Computer Science - Data Science Track,http://mscs.mum.edu/program-structure/data-science-track.html,iowa
University of Iowa,Iowa City,Full-Time Master of Science in Business Analytics,https://tippie.uiowa.edu/future-graduate-students/masters-programs/business-analytics/full-time-msba,iowa
University of Northern Iowa,Cedar Falls,Master of Arts in Geography - Geographic Information Science and Remote Sensing,https://csbs.uni.edu/geography/graduate-program,iowa
Emporia State University,Emporia,MS Informatics,http://www.emporia.edu/info/degrees-courses/grad/informatics,kansas
Fort Hays State University,Hays,Master of Science in Geosciences,http://www.fhsu.edu/geo/Master-s-Program/,kansas
Kansas State University,Manhattan,Applied Statistics Certificate,http://global.k-state.edu/artsci/applied-stats/,kansas
University of Kansas,Lawrence | Overland Park,Doctor of Philosophy in Biostatistics,http://catalog.ku.edu/medicine/biostatistics/phd/,kansas
Bellarmine University,Louisville,Master of Science in Analytics,http://www.bellarmine.edu/analytics/,kentucky
Eastern Kentucky University,Richmond,Master of Science in Applied Computing - Statistical Computing,http://computerscience.eku.edu/master-science-applied-computing,kentucky
Northern Kentucky University,Highland Heights,Certificate in Business Informatics,http://nku.catalog.acalog.com/preview_program.php?catoid=7&poid=897&returnto=223,kentucky
University of Kentucky,Lexington,Master of Applied Statistics,https://stat.as.uky.edu/mas,kentucky
University of Louisville,Louisville,Certificate in Data Mining,http://louisville.edu/speed/computer/graduate-studies/dataMining,kentucky
Louisiana State University,Baton Rouge,Master of Science in Analytics,http://businessanalytics.lsu.edu/,louisiana
Louisiana Tech University,Ruston,Master of Health Informatics,http://him.latech.edu/masters.html,louisiana
Tulane University of Louisiana,New Orleans,Master of Science in Biostatistics,http://www.sph.tulane.edu/gbds/ms,louisiana
University of Louisiana-Monroe,Monroe,Certificate in Mortgage Analytics,http://catalog.ulm.edu/preview_program.php?catoid=23&poid=2860&returnto=2877,louisiana
University of New Orleans,New Orleans,Master of Science in Computer Science - Bioinformatics,http://www.uno.edu/cos/computer-science/bioinformatics.aspx,louisiana
University of Maine at Farmington,Farmington,Certificate in Applied Statistics,http://usm.maine.edu/catalogs/2013-14/certificate-applied-statistics,maine
University of Maine,Orono,Graduate Certificate in Geographic Information Systems,https://online.umaine.edu/graduate-certificates/geographic-information-systems/,maine
University of New England,Biddeford,Graduate Certificate in Health Informatics,http://online.une.edu/health-informatics/graduate-certificate/,maine
University of Southern Maine,Portland,Certificate in Applied Statistics,https://usm.maine.edu/math/certificate-applied-statistics,maine
Johns Hopkins University,Baltimore,DrPh in Public Health Informatics,http://www.jhsph.edu/departments/health-policy-and-management/degree-programs/drph-in-health-policy-and-management/drph-in-public-health-informatics/,maryland
Loyola University Maryland,Baltimore,Master of Science in Data Science,http://www.loyola.edu/academics/data-science,maryland
Notre Dame of Maryland University,Baltimore,Master of Science in Analytics in Knowledge Management,http://www.ndm.edu/grad-prof-studies/academics/programs/analytics,maryland
University of Maryland-Baltimore County,Baltimore,Master of Science in Information Systems,http://onlinems.umbc.edu/,maryland
University of Maryland-College Park,College Park,Graduate Certificate in Professional Studies in Geospatial Intelligence,https://geospatial.umd.edu/education/mps-gis,maryland
University of Maryland-University College,Adelphi,Master of Science in Data Analytics,http://www.umuc.edu/academic-programs/masters-degrees/data-analytics.cfm,maryland
Harvard University,Cambridge,Harvard Business Analytics Program,https://requestinfo.analytics.hbs.edu/index.html?s=mastersindatasciencesite&l=schools_cert_sp&utm_source=mastersindatasciencesite&utm_medium=link&utm_campaign=schools_cert_sp,massachusetts
Babson College,Wellesley,MBA with Business Analytics Concentration,http://www.babson.edu/academics/graduate/mba/concentrations/pages/business-analytics.aspx,massachusetts
Bay Path University,Longmeadow,MS in Applied Data Science,http://www.baypath.edu/academics/graduate-programs/applied-data-science-ms/,massachusetts
Bentley University,Waltham,Emerging Leaders MBA - Business Analytics,http://www.bentley.edu/graduate/mba-programs/emerging-leaders-mba,massachusetts
Boston University,Boston,Applied Business Analytics Graduate Certificate,https://www.bu.edu/dbin/met/landing-pages/?page=aba&utm_campaign=ABA&utm_medium=website&utm_source=mastersindatascience.org,massachusetts
Brandeis University,Waltham,M.S. in Strategic Analytics,https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html,massachusetts
Clark University,Worcester,M.S. in Business Analytics,http://www.clarku.edu/programs/ms-business-analytics,massachusetts
Harvard University,Cambridge,Harvard Business Analytics Program,https://requestinfo.analytics.hbs.edu/index.html?s=mastersindatasciencesite&l=schools_cert_sp&utm_source=mastersindatasciencesite&utm_medium=link&utm_campaign=schools_cert_sp,massachusetts
Massachusetts Institute of Technology,Cambridge,Master of Business Analytics,http://mitsloan.mit.edu/master-of-business-analytics/,massachusetts
Merrimack College,North Andover,Master of Science in Business Analytics,http://onlinedsa.merrimack.edu/business-analytics/,massachusetts
Northeastern University,Boston,Graduate Certificate in Data Analytics,http://www.northeastern.edu/data-analytics/data-science-certificate/,massachusetts
Suffolk University,Boston,Master of Science in Business Analytics,http://www.suffolk.edu/business/graduate/71020.php,massachusetts
University of Massachusetts Amherst,Amherst,Certificate in Statistical and Computational Data Science,https://ds.cs.umass.edu/academics/certificate-data-science,massachusetts
University of Massachusetts-Boston,Boston,Graduate Certificate in Business Analytics,https://www.umb.edu/academics/caps/certificates/business_analytics,massachusetts
Worcester Polytechnic Institute,Worcester,Graduate Certificate in Data Science,http://www.wpi.edu/academics/datascience/certificate-program.html,massachusetts
Baker College,Allen Park,MBA in Business Intelligence,http://www.baker.edu/programs-degrees/business-intelligence-master-ba/,michigan
Central Michigan University,Mount Pleasant,Certificate in Data Mining,https://www.cmich.edu/colleges/cgs/programs/Pages/data-mining-cert.aspx,michigan
Davenport University,Grand Rapids,Master of Science in Health Informatics and Information Management,http://www.davenport.edu/college-health-professions/programs-and-degrees/master-science-informatics-and-information-,michigan
Eastern Michigan University,Ypsilanti,Graduate Certificate in Healthcare Informatics,http://catalog.emich.edu/preview_program.php?catoid=24&poid=11519&returnto=4952,michigan
Grand Valley State University,Allendale,Master of Science in Biostatistics,http://www.gvsu.edu/grad/biostats/,michigan
Michigan State University,East Lansing,M.S. - Business Analytics,http://broad.msu.edu/businessanalytics/,michigan
Michigan Technological University,Houghton,Certificate in Data Science,http://www.mtu.edu/data-science/graduate/certificate/,michigan
Oakland University,Rochester Hills,Master of Science in Information Technology Management in Business Analytics,https://www.oakland.edu/business/graduate-executive-programs/msitm/,michigan
University of Michigan-Ann Arbor,Ann Arbor,Graduate Data Science (DS) Certificate Program,http://midas.umich.edu/certificate/,michigan
University of Michigan-Dearborn,Dearborn,Master of Science in Business Analytics,http://umdearborn.edu/cob/ms-business-analytics/,michigan
Wayne State University,Detroit,Master of Science in Data Science and Business Analytics,https://engineering.wayne.edu/data-analytics/programs/ms.php,michigan
Saint Mary's University of Minnesota,Winona,Master of Science in Business Intelligence and Data Analytics,http://onlineprograms.smumn.edu/msbida/masters-in-business-intelligence-and-analytics,minnesota
The College of Saint Scholastica,Duluth,Health Informatics Certificate,http://www.css.edu/graduate/masters-doctoral-and-professional-programs/areas-of-study/ms-health-information-management/health-informatics-certificate.html,minnesota
University of Minnesota-Twin Cities,Minneapolis,Doctor of Philosophy in Health Informatics,https://healthinformatics.umn.edu/education-training/graduate-programs/phd-program,minnesota
University of St. Thomas,Saint Paul,Graduate Certificate in Big Data,http://www.stthomas.edu/gradsoftware/programs/gradcerts/cbd/,minnesota
Delta State University,Cleveland,Master of Applied Science in Geospatial Information Technologies,http://www.deltastate.edu/artsandsciences/biological-sciences/programs/mas-git/,mississippi
Jackson State University,Jackson,Ph.D. in Computational and Data-Enabled Science and Engineering,http://www.jsums.edu/gip/cdese/,mississippi
Mississippi State University,Mississippi State,Certificate in Computational Biology,http://www.igbb.msstate.edu/certificate.php,mississippi
Mississippi Valley State University,Itta Bena,Master of Science in Bioinformatics,https://www.mvsu.edu/academics/academic-programs/arts-sciences/departments/natural-sciences-environmental-health/graduate/ms-bioinformatics/admissions,mississippi
University of Mississippi Medical Center,Jackson,Master of Science in Biostatistics and Data Science,https://www.umc.edu/SoPH/Departments-and-Faculty/Data-Science/Education/MS-Biostatistics-and-Data-Science/Overview.html,mississippi
Grantham University,Kansas City,Master of Science in Business Intelligence,http://rmi.grantham.edu/programs/master-of-science-in-business-intelligence,missouri
Maryville University,Saint Louis,Online Master of Science in Business Data Analytics,http://online.maryville.edu/online-master-of-science-in-business-data-analytics/,missouri
Missouri State University-Springfield,Springfield,"Master of Science in Geospatial Sciences - Geography, Geology and Planning",http://graduate.missouristate.edu/catalog/prog_Geospatial_Sciences_Geography_Geology.htm,missouri
Missouri University of Science and Technology,Rolla,Certificate in Big Data Management and Analytics,http://dce.mst.edu/credit/certificates/bigdatamanagementandanalytics/,missouri
Rockhurst University,Kansas City,Data Science and Business Analytics Certificate,http://www.rockhurst.edu/media/filer_private/2013/12/06/helzberg_ds_certificates_w-course_descriptions.pdf,missouri
Saint Louis University-Main Campus,Saint Louis,Applied Analytics Master's Degree,https://www.slu.edu/programs/graduate/applied-analytics-ms.php,missouri
University of Missouri-Columbia,Columbia,Master of Science in Data Science and Analytics,http://dsa.missouri.edu/,missouri
University of Missouri-Kansas City,Kansas City,PhD in Biomedical and Health Informatics,http://med.umkc.edu/iphd/,missouri
University of Missouri-St Louis,Saint Louis,Graduate Certificate in Business Intelligence,http://mis.umsl.edu/M.S.%20in%20I.S./BICertificate.html,missouri
Washington University in St Louis,Saint Louis,Master of Science in Customer Analytics,https://olin.wustl.edu/EN-US/academic-programs/specialized-masters-programs/ms-in-customer-analytics/Pages/default.aspx,missouri
Montana Tech of the University of Montana,Butte,Graduate Certificate in Health Care Informatics,https://www.mtech.edu/clsps/hci/curriculum.html,montana
The University of Montana,Missoula,Master of Business Analytics,http://www.business.umt.edu/programs/graduate/msba-program/default.php,montana
Bellevue University,Bellevue,Master of Science-Business Analytics,http://www.bellevue.edu/degrees/graduate/business-analytics-ms/major-requirements.aspx,nebraska
Creighton University,Omaha,Graduate Certificate in Business Analytics,https://www.creighton.edu/program/business-analytics-graduate-certificate,nebraska
Nebraska Methodist College of Nursing & Allied Health,Omaha,Certificate in Nursing Informatics,http://www.methodistcollege.edu/nursing/certificates/nursing-informatics-certificate,nebraska
University of Nebraska at Omaha,Omaha,Doctor of Philosophy in Biomedical Informatics,http://unomaha.smartcatalogiq.com/en/2016-2017/Graduate-Catalog/Graduate-Degree-Programs-Certificates-Minors/Biomedical-Informatics/Biomedical-Informatics-PhD,nebraska
University of Nebraska-Lincoln,Lincoln,Business Analytics Graduate Certificate,http://cba.unl.edu/academic-programs/programs-and-degrees/business-analytics/,nebraska
University of Nevada-Las Vegas,Las Vegas,Graduate Certificate in Data Analytics,https://www.unlv.edu/certificate/data-analytics,nevada
University of Nevada-Reno,Reno,Master of Science in Information Systems - Data Analytics Track,http://www.unr.edu/business/degree-programs/information-systems/msis#dataanalyticstrack,nevada
Western Governors University,Las Vegas,Master of Science in Data Analytics,http://nevada.wgu.edu/online_it_degrees/data_analytics_master_degree,nevada
Dartmouth College,"Hanover, New Hampshire",Masters of Science in Quantitative Biomedical Sciences - Health Data Science Concentration,http://www.dartmouth.edu/~qbs/program/the-ms-curriculum.html,new hampshire
New England College,"Henniker, New Hampshire",Master of Business Administration (MBA) - Healthcare Informatics,http://catalog.nec.edu/preview_program.php?catoid=12&poid=866&returnto=254,new hampshire
Southern New Hampshire University,"Manchester, New Hampshire",Master of Business Administration (MBA) - Healthcare Informatics,http://www.snhu.edu/campus-majors/graduate/master-of-business-administration/mba-in-health-informatics,new hampshire
University of New Hampshire-Main Campus,"Durham, New Hampshire",Graduate Certificate in Analytics,http://www.unh.edu/analytics/graduate-certificate-analytics,new hampshire
New Jersey Institute of Technology,"Newark, New Jersey",Graduate Certificate in Data Mining,http://www5.njit.edu/graduatestudies/degree-programs/graduatecertificates/data-mining-cert/,new jersey
Rowan University,"Glassboro, New Jersey",Master of Science in Data Analytics,https://rowanu.com/programs/649,new jersey
Rutgers University,"New Brunswick, New Jersey | Newark, New Jersey | Camden, New Jersey","Master of Business & Science (MBS), Concentration in Drug Discovery & Development",http://mbs.rutgers.edu/program/drug-discovery-development-onlinehybrid,new jersey
Saint Peter's University,"Jersey City, New Jersey",Master of Science in Data Science with a concentration in Business Analytics,http://www.saintpeters.edu/data-science-and-business-analytics/,new jersey
Stevens Institute of Technology,"Hoboken, New Jersey",BI&A Graduate Certificate,https://www.stevens.edu/school-business/masters-programs/graduate-certificates/business-intelligence-analytics,new jersey
Thomas Edison State University,"Trenton, New Jersey",MBA in Data Analytics,https://www.tesu.edu/business/mba/data-analytics,new jersey
New Mexico State University-Main Campus,"Las Cruces, New Mexico",Master of Science in Applied Statistics,http://business.nmsu.edu/academics/graduate-programs/ms-astat/,new mexico
University of New Mexico-Main Campus,"Albuquerque, New Mexico",Master of Science in Statistics - Applied Statistics Concentration,http://math.unm.edu/graduate/graduate-studies-statistics,new mexico
University of Phoenix,"Albuquerque, New Mexico",Graduate Certificate in Business Analytics,http://www.phoenix.edu/programs/continuing-education/certificate-programs/technology/cert-g-ba.pdf,new mexico
Syracuse University,"Syracuse, New York",Master of Science in Applied Data Science,https://requestinfo.ischoolonline.syr.edu/mids.html?s=mastersindatasciencesite&l=schools_new%20york--listings-featured-program,new york
Clarkson University,"Potsdam, New York",Master of Science in Data Analytics,https://www.clarkson.edu/graduate/data-analytics,new york
Columbia University in the City of New York,"New York, New York",Master of Science in Applied Analytics,http://sps.columbia.edu/applied-analytics/master-of-science-in-applied-analytics,new york
Cornell University,"Ithaca, New York",Master of Professional Studies (MPS) in Applied Statistics (Option II: Data Science),http://stat.cornell.edu/academics/mps,new york
CUNY Bernard M Baruch College,"New York, New York",Advanced Certificate in Business Analytics of Large-Scale Data,http://www.csi.cuny.edu/catalog/graduate/advanced-certificate-in-business-analytics-of-large-scale-data.htm,new york
CUNY City College,"New York, New York",Master's in Data Science and Engineering,https://www.ccny.cuny.edu/dse,new york
CUNY Graduate School and University Center,"New York, New York",Online Master of Science in Data Analytics,https://sps.cuny.edu/academics/graduate/master-science-data-analytics-ms,new york
